step,phase,t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,fwd_progress_m,lat_offset_m,speed_ms,front_d_m,min_depth_m,prox_alarm,depth_top,depth_mid,depth_bot,tgt_x,tgt_y,tgt_z,collision,near_miss,armed,mode
0,OUTBOUND,0.0,-0.0,0.2,1.576,1.627,-1.078,-0.678,-0.0,-0.0,1.627,5.997,3.511,0,4.57,10.0,3.985,0.225,0.186,1.489,0,0,0,AUTO.LAND
1,OUTBOUND,0.1,-0.0,0.2,1.569,1.627,-1.078,-0.678,-0.0,-0.0,1.627,5.955,3.507,0,4.641,10.0,3.928,0.372,0.147,1.481,0,0,0,AUTO.LAND
2,OUTBOUND,0.2,0.001,0.2,1.562,1.627,-1.078,-0.678,0.001,-0.0,1.627,5.66,3.514,0,4.727,10.0,3.78,0.472,0.092,1.477,0,0,0,AUTO.LAND
3,OUTBOUND,0.3,0.004,0.2,1.554,1.627,-1.078,-0.678,0.004,-0.0,1.627,5.219,3.61,0,4.696,10.0,3.578,0.572,0.027,1.474,0,0,0,AUTO.LAND
4,OUTBOUND,0.41,0.011,0.199,1.546,1.627,-1.078,-0.678,0.011,-0.001,1.627,4.802,4.036,0,5.476,10.0,3.377,0.672,-0.033,1.471,0,0,0,OFFBOARD
5,OUTBOUND,0.51,0.026,0.196,1.539,1.627,-1.078,-0.678,0.026,-0.004,1.627,4.474,4.116,0,5.795,10.0,3.214,0.772,-0.093,1.468,0,0,0,OFFBOARD
6,OUTBOUND,0.61,0.05,0.191,1.531,1.627,-1.078,-0.678,0.05,-0.009,1.627,4.252,4.117,0,5.756,6.863,3.104,0.872,-0.152,1.467,0,0,0,OFFBOARD
7,OUTBOUND,0.71,0.086,0.183,1.524,1.627,-1.078,-0.678,0.086,-0.017,1.627,4.139,3.971,0,5.798,6.619,3.047,0.972,-0.212,1.464,0,0,0,OFFBOARD
8,OUTBOUND,0.81,0.132,0.17,1.517,1.627,-1.078,-0.678,0.132,-0.03,1.627,4.116,3.92,0,5.818,6.603,3.037,1.072,-0.274,1.459,0,0,0,OFFBOARD
9,OUTBOUND,0.91,0.19,0.152,1.511,1.627,-1.078,-0.678,0.19,-0.048,1.627,4.166,3.945,0,5.724,6.77,3.065,1.172,-0.338,1.454,0,0,0,OFFBOARD
10,OUTBOUND,1.01,0.258,0.128,1.504,1.627,-1.078,-0.678,0.258,-0.072,1.627,4.273,4.031,0,5.592,10.0,3.121,1.272,-0.405,1.45,0,0,0,OFFBOARD
11,OUTBOUND,1.12,0.335,0.098,1.499,1.627,-1.078,-0.678,0.335,-0.102,1.627,4.414,4.157,0,5.536,10.0,3.191,1.372,-0.475,1.447,0,0,0,OFFBOARD
12,OUTBOUND,1.22,0.42,0.062,1.493,1.627,-1.078,-0.678,0.42,-0.138,1.627,4.571,4.279,0,5.478,6.982,3.266,1.472,-0.547,1.445,0,0,0,OFFBOARD
13,OUTBOUND,1.32,0.512,0.021,1.488,1.627,-1.078,-0.678,0.512,-0.179,1.627,4.724,4.209,0,5.415,10.0,3.337,1.572,-0.622,1.445,0,0,0,OFFBOARD
14,OUTBOUND,1.42,0.608,-0.025,1.482,1.627,-1.078,-0.678,0.608,-0.225,1.627,4.861,4.129,0,5.342,10.0,3.398,1.672,-0.697,1.446,0,0,0,OFFBOARD
15,OUTBOUND,1.52,0.71,-0.076,1.478,1.627,-1.078,-0.678,0.71,-0.276,1.627,4.976,4.045,0,5.26,10.0,3.447,1.772,-0.773,1.448,0,0,0,OFFBOARD
16,OUTBOUND,1.62,0.814,-0.132,1.474,1.627,-1.078,-0.678,0.814,-0.332,1.627,5.069,3.964,0,5.172,10.0,3.486,1.872,-0.848,1.449,0,0,0,OFFBOARD
17,OUTBOUND,1.72,0.923,-0.192,1.47,1.627,-1.078,-0.678,0.923,-0.392,1.627,5.15,3.863,0,5.08,10.0,3.519,1.972,-0.917,1.45,0,0,0,OFFBOARD
18,OUTBOUND,1.83,1.033,-0.255,1.466,1.627,-1.078,-0.678,1.033,-0.455,1.627,5.225,3.759,0,4.983,10.0,3.549,2.072,-0.983,1.451,0,0,0,OFFBOARD
19,OUTBOUND,1.93,1.146,-0.323,1.464,1.627,-1.078,-0.678,1.146,-0.523,1.627,5.302,3.653,0,4.883,10.0,3.579,2.172,-1.046,1.451,0,0,0,OFFBOARD
20,OUTBOUND,2.03,1.26,-0.393,1.461,1.627,-1.078,-0.678,1.26,-0.593,1.627,5.418,3.508,0,4.748,10.0,3.623,2.272,-1.105,1.451,0,0,0,OFFBOARD
21,OUTBOUND,2.13,1.375,-0.466,1.459,1.627,-1.078,-0.678,1.375,-0.666,1.627,5.514,3.399,0,4.645,10.0,3.657,2.372,-1.16,1.451,0,0,0,OFFBOARD
22,OUTBOUND,2.23,1.489,-0.541,1.458,1.627,-1.078,-0.678,1.489,-0.741,1.627,5.589,3.287,0,4.54,10.0,3.693,2.472,-1.212,1.452,0,0,0,OFFBOARD
23,OUTBOUND,2.34,1.607,-0.62,1.456,1.627,-1.078,-0.678,1.607,-0.819,1.627,5.635,3.177,0,4.435,10.0,3.727,2.572,-1.258,1.453,0,0,0,OFFBOARD
24,OUTBOUND,2.44,1.723,-0.698,1.455,1.627,-1.078,-0.678,1.723,-0.898,1.627,5.582,3.065,0,4.327,10.0,3.754,2.672,-1.297,1.455,0,0,0,OFFBOARD
25,OUTBOUND,2.54,1.838,-0.775,1.454,1.627,-1.078,-0.678,1.838,-0.975,1.627,5.472,2.953,0,4.218,5.436,3.784,2.772,-1.33,1.458,0,0,0,OFFBOARD
26,OUTBOUND,2.64,1.951,-0.852,1.454,1.627,-1.078,-0.678,1.951,-1.052,1.627,5.362,2.839,0,4.107,5.352,3.803,2.872,-1.353,1.466,0,0,0,OFFBOARD
27,OUTBOUND,2.74,2.063,-0.927,1.454,1.627,-1.078,-0.678,2.063,-1.127,1.627,5.255,2.731,0,4.0,5.298,3.816,2.972,-1.361,1.479,0,0,0,OFFBOARD
28,OUTBOUND,2.84,2.175,-1.001,1.454,1.627,-1.078,-0.678,2.175,-1.201,1.627,5.145,2.62,0,3.89,5.252,3.823,3.072,-1.354,1.493,0,0,0,OFFBOARD
29,OUTBOUND,2.94,2.285,-1.071,1.456,1.627,-1.078,-0.678,2.285,-1.271,1.627,5.034,2.511,0,3.781,5.214,3.828,3.172,-1.333,1.508,0,0,0,OFFBOARD
30,OUTBOUND,3.04,2.393,-1.137,1.458,1.627,-1.078,-0.678,2.393,-1.337,1.627,4.926,2.404,0,3.673,5.182,3.831,3.272,-1.299,1.524,0,0,0,OFFBOARD
31,OUTBOUND,3.15,2.5,-1.199,1.461,1.627,-1.078,-0.678,2.5,-1.399,1.627,4.819,2.297,0,3.565,5.151,3.834,3.372,-1.248,1.539,0,0,0,OFFBOARD
32,OUTBOUND,3.25,2.607,-1.255,1.465,1.627,-1.078,-0.678,2.607,-1.455,1.627,4.713,2.192,0,3.459,5.121,3.839,3.472,-1.183,1.552,0,0,0,OFFBOARD
33,OUTBOUND,3.35,2.711,-1.303,1.471,1.627,-1.078,-0.678,2.711,-1.503,1.627,4.608,2.088,0,3.354,5.091,3.845,3.572,-1.105,1.563,0,0,0,OFFBOARD
34,OUTBOUND,3.45,2.816,-1.344,1.477,1.627,-1.078,-0.678,2.816,-1.544,1.627,4.505,1.985,1,3.25,5.064,3.853,3.672,-1.013,1.572,0,0,0,OFFBOARD
35,OUTBOUND,3.55,2.918,-1.376,1.484,1.627,-1.078,-0.678,2.918,-1.576,1.627,4.47,1.951,1,3.215,5.055,3.856,3.855,-0.935,1.572,0,0,0,OFFBOARD
36,OUTBOUND,3.65,3.02,-1.397,1.492,1.627,-1.078,-0.678,3.02,-1.597,1.627,4.299,1.813,1,3.066,5.016,3.86,4.109,-0.856,1.566,0,0,0,OFFBOARD
37,OUTBOUND,3.76,3.122,-1.407,1.5,1.627,-1.078,-0.678,3.122,-1.607,1.627,4.19,1.796,1,3.077,4.994,3.812,4.406,-0.783,1.555,0,0,0,OFFBOARD
38,OUTBOUND,3.86,3.224,-1.405,1.507,1.627,-1.078,-0.678,3.224,-1.605,1.627,4.247,2.039,0,3.701,4.973,3.688,4.731,-0.73,1.54,0,0,0,OFFBOARD
39,OUTBOUND,3.96,3.328,-1.39,1.513,1.627,-1.078,-0.678,3.328,-1.59,1.627,4.781,2.123,0,3.89,4.948,3.489,5.088,-0.699,1.523,0,0,0,OFFBOARD
40,OUTBOUND,4.06,3.438,-1.364,1.518,1.627,-1.078,-0.678,3.438,-1.564,1.627,4.448,2.214,0,3.779,4.913,3.259,5.471,-0.684,1.504,0,0,0,OFFBOARD
41,OUTBOUND,4.16,3.558,-1.326,1.522,1.627,-1.078,-0.678,3.558,-1.526,1.627,4.064,2.3,0,4.444,4.868,3.046,5.877,-0.686,1.484,0,0,0,OFFBOARD
42,OUTBOUND,4.26,3.689,-1.279,1.524,1.627,-1.078,-0.678,3.689,-1.479,1.627,3.837,2.306,0,4.673,4.809,2.91,6.296,-0.709,1.463,0,0,0,OFFBOARD
43,OUTBOUND,4.37,3.833,-1.225,1.523,1.627,-1.078,-0.678,3.833,-1.425,1.627,3.788,2.214,0,4.56,4.74,2.869,6.719,-0.731,1.442,0,0,0,OFFBOARD
44,OUTBOUND,4.47,3.993,-1.164,1.521,1.627,-1.078,-0.678,3.993,-1.364,1.627,3.974,2.534,0,4.391,4.634,2.947,7.145,-0.76,1.42,0,0,0,OFFBOARD
45,OUTBOUND,4.57,4.168,-1.1,1.517,1.627,-1.078,-0.678,4.168,-1.3,1.627,3.974,2.534,0,4.391,4.634,2.947,7.572,-0.79,1.399,0,0,0,OFFBOARD
46,OUTBOUND,4.67,4.35,-1.037,1.511,1.627,-1.078,-0.678,4.35,-1.237,1.627,4.466,2.756,0,4.11,4.44,3.279,7.993,-0.815,1.379,0,0,0,OFFBOARD
47,OUTBOUND,4.77,4.54,-0.976,1.503,1.627,-1.078,-0.678,4.54,-1.176,1.627,4.628,2.743,0,3.966,4.355,3.481,8.416,-0.846,1.363,0,0,0,OFFBOARD
48,OUTBOUND,4.87,4.731,-0.921,1.493,1.627,-1.078,-0.678,4.731,-1.121,1.627,5.068,2.572,0,3.812,4.318,3.654,8.812,-0.867,1.356,0,0,0,OFFBOARD
49,OUTBOUND,4.97,4.925,-0.872,1.483,1.627,-1.078,-0.678,4.925,-1.071,1.627,5.071,2.579,0,3.72,10.0,3.763,9.124,-0.849,1.357,0,0,0,OFFBOARD
50,OUTBOUND,5.08,5.12,-0.829,1.471,1.627,-1.078,-0.678,5.12,-1.029,1.627,5.293,2.871,0,4.197,10.0,3.793,9.336,-0.85,1.357,0,0,0,OFFBOARD
