step,phase,t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,fwd_progress_m,lat_offset_m,speed_ms,front_d_m,min_depth_m,prox_alarm,depth_top,depth_mid,depth_bot,tgt_x,tgt_y,tgt_z,collision,near_miss,armed,mode
30,OUTBOUND,3.05,4.174,0.979,1.663,-38.682,0.401,-0.678,4.174,1.379,38.682,4.034,2.602,0,3.322,6.925,3.178,8.301,1.302,1.611,0,0,0,OFFBOARD
31,OUTBOUND,3.15,4.375,1.051,1.663,-38.682,0.401,-0.678,4.375,1.452,38.682,4.006,2.505,0,3.708,6.725,2.985,8.719,1.3,1.603,0,0,0,OFFBOARD
32,OUTBOUND,3.25,4.576,1.119,1.661,-38.682,0.401,-0.678,4.576,1.519,38.682,3.958,2.403,0,3.719,6.525,2.79,9.071,1.287,1.595,0,0,0,OFFBOARD
33,OUTBOUND,3.35,4.775,1.179,1.657,-38.682,0.401,-0.678,4.775,1.579,38.682,3.852,2.349,0,3.668,6.329,2.599,9.398,1.266,1.59,0,0,0,OFFBOARD
34,OUTBOUND,3.45,4.975,1.233,1.653,-38.682,0.401,-0.678,4.975,1.633,38.682,4.682,2.301,0,3.606,6.132,2.525,9.756,1.238,1.585,0,0,0,OFFBOARD
35,OUTBOUND,3.56,5.177,1.281,1.648,-38.682,0.401,-0.678,5.177,1.681,38.682,4.669,2.161,0,3.412,5.932,2.501,10.141,1.199,1.582,0,0,0,OFFBOARD
36,OUTBOUND,3.66,5.378,1.321,1.643,-38.682,0.401,-0.678,5.378,1.721,38.682,4.472,1.964,1,3.215,5.734,2.486,10.546,1.157,1.58,0,0,0,OFFBOARD
37,OUTBOUND,3.76,5.581,1.353,1.637,-38.682,0.401,-0.678,5.581,1.753,38.682,4.277,1.775,1,3.021,5.538,2.476,10.817,1.099,1.578,0,0,0,OFFBOARD
38,OUTBOUND,3.86,5.785,1.377,1.632,-38.682,0.401,-0.678,5.785,1.777,38.682,4.078,1.738,1,2.844,5.337,2.469,11.007,1.032,1.578,0,0,0,OFFBOARD
39,OUTBOUND,3.96,5.989,1.393,1.626,-38.682,0.401,-0.678,5.989,1.793,38.682,3.881,1.968,1,2.818,5.138,2.462,11.151,0.967,1.578,0,0,0,OFFBOARD
40,OUTBOUND,4.06,6.187,1.399,1.621,-38.682,0.401,-0.678,6.187,1.799,38.682,3.751,1.945,1,3.358,4.987,4.116,11.262,0.895,1.579,0,0,0,OFFBOARD
41,OUTBOUND,4.17,6.393,1.397,1.615,-38.682,0.401,-0.678,6.393,1.797,38.682,4.409,1.968,1,3.38,5.79,4.107,11.362,0.779,1.579,0,0,0,OFFBOARD
42,OUTBOUND,4.27,6.599,1.385,1.611,-38.682,0.401,-0.678,6.599,1.785,38.682,4.473,1.96,1,3.217,5.728,4.096,11.462,0.634,1.577,0,0,0,OFFBOARD
43,OUTBOUND,4.37,6.8,1.364,1.607,-38.682,0.401,-0.678,6.8,1.764,38.682,4.273,1.761,1,3.017,5.529,4.081,11.562,0.472,1.574,0,0,0,OFFBOARD
44,OUTBOUND,4.47,7.004,1.333,1.603,-38.682,0.401,-0.678,7.004,1.733,38.682,4.072,2.081,0,2.964,5.329,4.066,11.662,0.322,1.572,0,0,0,OFFBOARD
45,OUTBOUND,4.57,7.206,1.292,1.599,-38.682,0.401,-0.678,7.206,1.692,38.682,4.089,2.143,0,3.495,6.233,4.051,11.849,0.216,1.572,0,0,0,OFFBOARD
46,OUTBOUND,4.67,7.407,1.24,1.595,-38.682,0.401,-0.678,7.407,1.64,38.682,4.928,2.217,0,3.663,6.185,4.039,12.129,0.133,1.575,0,0,0,OFFBOARD
47,OUTBOUND,4.77,7.609,1.176,1.592,-38.682,0.401,-0.678,7.609,1.577,38.682,4.728,2.216,0,3.472,5.986,4.03,12.468,0.077,1.579,0,0,0,OFFBOARD
48,OUTBOUND,4.88,7.813,1.1,1.59,-38.682,0.401,-0.678,7.813,1.5,38.682,4.544,2.14,0,3.364,10.0,4.025,12.846,0.03,1.583,0,0,0,OFFBOARD
49,OUTBOUND,4.98,8.015,1.013,1.588,-38.682,0.401,-0.678,8.015,1.413,38.682,5.341,2.609,0,3.944,6.842,4.023,13.249,0.02,1.589,0,0,0,OFFBOARD
50,OUTBOUND,5.08,8.217,0.917,1.586,-38.682,0.401,-0.678,8.217,1.317,38.682,5.385,2.745,0,3.977,10.0,4.022,13.667,0.018,1.595,0,0,0,OFFBOARD
51,OUTBOUND,5.18,8.419,0.813,1.585,-38.682,0.401,-0.678,8.419,1.213,38.682,5.185,2.673,0,3.929,10.0,4.017,14.095,0.027,1.602,0,0,0,OFFBOARD
52,OUTBOUND,5.28,8.621,0.704,1.585,-38.682,0.401,-0.678,8.621,1.104,38.682,5.19,2.692,0,3.729,10.0,4.014,14.527,0.048,1.608,0,0,0,OFFBOARD
53,OUTBOUND,5.38,8.823,0.595,1.585,-38.682,0.401,-0.678,8.823,0.995,38.682,5.742,3.154,0,3.763,10.0,4.016,14.958,0.083,1.614,0,0,0,OFFBOARD
54,OUTBOUND,5.48,9.025,0.488,1.586,-38.682,0.401,-0.678,9.025,0.889,38.682,5.805,3.329,0,4.323,10.0,4.022,15.393,0.133,1.621,0,0,0,OFFBOARD
55,OUTBOUND,5.58,9.227,0.387,1.588,-38.682,0.401,-0.678,9.227,0.787,38.682,5.642,3.179,0,4.385,10.0,4.03,15.831,0.184,1.626,0,0,0,OFFBOARD
56,OUTBOUND,5.68,9.431,0.294,1.59,-38.682,0.401,-0.678,9.431,0.694,38.682,5.59,3.638,0,4.183,10.0,4.034,16.269,0.249,1.631,0,0,0,OFFBOARD
57,OUTBOUND,5.79,9.633,0.212,1.593,-38.682,0.401,-0.678,9.633,0.612,38.682,5.756,3.776,0,4.124,10.0,4.037,16.709,0.32,1.636,0,0,0,OFFBOARD
58,OUTBOUND,5.89,9.837,0.143,1.596,-38.682,0.401,-0.678,9.837,0.543,38.682,5.862,3.785,0,4.491,10.0,4.04,17.151,0.398,1.641,0,0,0,OFFBOARD
59,OUTBOUND,5.99,10.039,0.087,1.599,-38.682,0.401,-0.678,10.039,0.487,38.682,5.871,3.652,0,4.525,10.0,4.046,17.595,0.478,1.645,0,0,0,OFFBOARD
60,OUTBOUND,6.09,10.241,0.046,1.603,-38.682,0.401,-0.678,10.241,0.446,38.682,5.877,3.593,0,4.564,10.0,4.053,18.039,0.567,1.649,0,0,0,OFFBOARD
61,OUTBOUND,6.19,10.445,0.019,1.607,-38.682,0.401,-0.678,10.445,0.419,38.682,5.753,3.855,0,4.441,10.0,4.062,18.485,0.651,1.652,0,0,0,OFFBOARD
62,OUTBOUND,6.29,10.647,0.007,1.611,-38.682,0.401,-0.678,10.647,0.407,38.682,5.788,3.859,0,4.241,6.835,4.072,18.932,0.738,1.655,0,0,0,OFFBOARD
63,OUTBOUND,6.4,10.851,0.009,1.615,-38.682,0.401,-0.678,10.851,0.41,38.682,5.897,3.879,0,4.148,6.631,4.083,19.365,0.824,1.658,0,0,0,OFFBOARD
64,OUTBOUND,6.5,11.055,0.026,1.619,-38.682,0.401,-0.678,11.055,0.427,38.682,5.946,3.775,0,4.478,6.369,4.098,19.792,0.905,1.66,0,0,0,OFFBOARD
65,OUTBOUND,6.6,11.259,0.057,1.623,-38.682,0.401,-0.678,11.259,0.457,38.682,5.964,3.576,0,4.479,6.169,4.109,20.211,0.988,1.661,0,0,0,OFFBOARD
66,OUTBOUND,6.7,11.461,0.1,1.627,-38.682,0.401,-0.678,11.461,0.501,38.682,5.888,3.906,0,4.462,5.969,4.12,20.62,1.068,1.662,0,0,0,OFFBOARD
67,OUTBOUND,6.8,11.665,0.156,1.631,-38.682,0.401,-0.678,11.665,0.556,38.682,5.709,3.875,0,4.43,5.767,4.131,21.011,1.145,1.662,0,0,0,OFFBOARD
68,OUTBOUND,6.9,11.867,0.222,1.635,-38.682,0.401,-0.678,11.867,0.622,38.682,5.569,3.771,0,4.232,5.569,4.141,21.391,1.216,1.662,0,0,0,OFFBOARD
69,OUTBOUND,7.0,12.069,0.297,1.638,-38.682,0.401,-0.678,12.069,0.697,38.682,5.369,3.653,0,4.032,5.369,4.149,21.781,1.283,1.661,0,0,0,OFFBOARD
70,OUTBOUND,7.11,12.273,0.38,1.641,-38.682,0.401,-0.678,12.273,0.78,38.682,5.167,3.523,0,3.971,5.167,4.155,22.184,1.346,1.66,0,0,0,OFFBOARD
71,OUTBOUND,7.21,12.475,0.469,1.644,-38.682,0.401,-0.678,12.475,0.87,38.682,4.969,3.388,0,4.111,4.969,4.158,22.6,1.396,1.658,0,0,0,OFFBOARD
72,OUTBOUND,7.31,12.677,0.564,1.646,-38.682,0.401,-0.678,12.677,0.964,38.682,4.769,3.252,0,4.188,5.246,4.161,23.021,1.44,1.656,0,0,0,OFFBOARD
73,OUTBOUND,7.41,12.879,0.661,1.648,-38.682,0.401,-0.678,12.879,1.061,38.682,5.253,3.115,0,4.128,5.526,4.164,23.451,1.478,1.654,0,0,0,OFFBOARD
74,OUTBOUND,7.51,13.083,0.762,1.65,-38.682,0.401,-0.678,13.083,1.162,38.682,5.544,2.979,0,4.049,6.801,4.167,23.887,1.51,1.651,0,0,0,OFFBOARD
75,OUTBOUND,7.61,13.285,0.862,1.651,-38.682,0.401,-0.678,13.285,1.262,38.682,5.342,2.83,0,3.884,6.599,4.17,24.329,1.537,1.648,0,0,0,OFFBOARD
76,OUTBOUND,7.71,13.487,0.961,1.652,-38.682,0.401,-0.678,13.487,1.361,38.682,5.068,2.632,0,3.801,6.266,4.171,24.773,1.557,1.646,0,0,0,OFFBOARD
77,OUTBOUND,7.82,13.691,1.058,1.652,-38.682,0.401,-0.678,13.691,1.458,38.682,4.216,2.432,0,3.688,4.239,4.125,25.219,1.575,1.643,0,0,0,OFFBOARD
78,OUTBOUND,7.92,13.893,1.15,1.653,-38.682,0.401,-0.678,13.893,1.551,38.682,4.024,2.232,0,3.488,4.077,4.005,25.666,1.564,1.64,0,0,0,OFFBOARD
79,OUTBOUND,8.02,14.097,1.239,1.652,-38.682,0.401,-0.678,14.097,1.639,38.682,3.872,2.03,0,3.286,3.931,3.866,26.115,1.501,1.636,0,0,0,OFFBOARD
80,OUTBOUND,8.12,14.299,1.321,1.652,-38.682,0.401,-0.678,14.299,1.721,38.682,3.736,1.832,1,3.088,3.791,3.73,26.564,1.393,1.631,0,0,0,OFFBOARD
81,OUTBOUND,8.22,14.503,1.396,1.651,-38.682,0.401,-0.678,14.503,1.797,38.682,3.597,1.715,1,2.888,3.65,3.591,26.879,1.258,1.626,0,0,0,OFFBOARD
82,OUTBOUND,8.32,14.705,1.463,1.649,-38.682,0.401,-0.678,14.705,1.863,38.682,3.458,1.617,1,2.692,3.508,3.453,27.104,1.097,1.621,0,0,0,OFFBOARD
