step,phase,t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,fwd_progress_m,lat_offset_m,speed_ms,front_d_m,min_depth_m,prox_alarm,depth_top,depth_mid,depth_bot,tgt_x,tgt_y,tgt_z,collision,near_miss,armed,mode
0,OUTBOUND,0.0,-0.0,-0.451,1.576,1.614,-0.154,-0.682,-0.0,-0.0,1.614,5.885,3.392,0,4.479,10.0,3.986,0.225,-0.421,1.489,0,0,0,OFFBOARD
1,OUTBOUND,0.1,0.0,-0.451,1.569,1.614,-0.154,-0.682,0.0,-0.0,1.614,5.85,3.416,0,4.531,10.0,3.933,0.406,-0.393,1.484,0,0,0,OFFBOARD
2,OUTBOUND,0.2,0.001,-0.45,1.562,1.614,-0.154,-0.682,0.001,-0.0,1.614,5.668,3.488,0,4.727,10.0,3.785,0.566,-0.373,1.485,0,0,0,OFFBOARD
3,OUTBOUND,0.3,0.004,-0.45,1.554,1.614,-0.154,-0.682,0.004,0.0,1.614,5.186,3.466,0,4.684,10.0,3.563,0.701,-0.364,1.49,0,0,0,OFFBOARD
4,OUTBOUND,0.41,0.012,-0.449,1.547,1.614,-0.154,-0.682,0.012,0.001,1.614,4.701,3.441,0,5.39,10.0,3.325,0.826,-0.366,1.498,0,0,0,OFFBOARD
5,OUTBOUND,0.51,0.028,-0.447,1.54,1.614,-0.154,-0.682,0.028,0.004,1.614,4.311,3.465,0,5.768,6.918,3.124,0.939,-0.381,1.509,0,0,0,OFFBOARD
6,OUTBOUND,0.61,0.056,-0.443,1.535,1.614,-0.154,-0.682,0.056,0.007,1.614,4.051,3.546,0,5.798,6.283,2.984,1.039,-0.414,1.521,0,0,0,OFFBOARD
7,OUTBOUND,0.71,0.097,-0.438,1.53,1.614,-0.154,-0.682,0.097,0.012,1.614,3.922,3.683,0,6.608,5.983,2.911,1.139,-0.454,1.535,0,0,0,OFFBOARD
8,OUTBOUND,0.81,0.152,-0.432,1.526,1.614,-0.154,-0.682,0.152,0.018,1.614,3.918,3.736,0,6.586,5.967,2.904,1.239,-0.504,1.549,0,0,0,OFFBOARD
9,OUTBOUND,0.91,0.221,-0.425,1.524,1.614,-0.154,-0.682,0.221,0.025,1.614,4.015,3.79,0,6.36,6.202,2.953,1.395,-0.558,1.565,0,0,0,OFFBOARD
10,OUTBOUND,1.01,0.303,-0.419,1.524,1.614,-0.154,-0.682,0.303,0.031,1.614,4.181,3.808,0,5.569,6.636,3.047,1.545,-0.612,1.581,0,0,0,OFFBOARD
11,OUTBOUND,1.11,0.395,-0.415,1.525,1.614,-0.154,-0.682,0.395,0.035,1.614,4.367,3.797,0,5.472,10.0,3.155,1.656,-0.659,1.596,0,0,0,OFFBOARD
12,OUTBOUND,1.22,0.498,-0.414,1.528,1.614,-0.154,-0.682,0.498,0.036,1.614,4.548,3.778,0,5.388,10.0,3.259,1.756,-0.694,1.612,0,0,0,OFFBOARD
13,OUTBOUND,1.32,0.607,-0.417,1.532,1.614,-0.154,-0.682,0.607,0.033,1.614,4.719,3.752,0,5.306,10.0,3.355,1.856,-0.719,1.627,0,0,0,OFFBOARD
14,OUTBOUND,1.42,0.724,-0.426,1.537,1.614,-0.154,-0.682,0.724,0.024,1.614,4.886,3.72,0,5.199,10.0,3.447,1.956,-0.741,1.641,0,0,0,OFFBOARD
