step,phase,t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,fwd_progress_m,lat_offset_m,speed_ms,front_d_m,min_depth_m,prox_alarm,depth_top,depth_mid,depth_bot,tgt_x,tgt_y,tgt_z,collision,near_miss,armed,mode
0,OUTBOUND,0.0,0.0,0.15,1.576,1.583,0.639,-0.677,0.0,-0.0,1.583,6.023,3.511,0,4.575,10.0,3.985,0.225,0.137,1.489,0,0,0,OFFBOARD
1,OUTBOUND,0.1,0.0,0.15,1.569,1.583,0.639,-0.677,0.0,-0.0,1.583,5.949,3.517,0,4.649,10.0,3.925,0.529,0.1,1.473,0,0,0,OFFBOARD
2,OUTBOUND,0.2,0.001,0.15,1.562,1.583,0.639,-0.677,0.001,-0.0,1.583,5.585,3.599,0,4.719,10.0,3.745,0.884,0.046,1.455,0,0,0,OFFBOARD
3,OUTBOUND,0.3,0.004,0.15,1.553,1.583,0.639,-0.677,0.004,-0.0,1.583,4.942,4.084,0,5.23,10.0,3.445,1.272,-0.012,1.442,0,0,0,OFFBOARD
4,OUTBOUND,0.41,0.015,0.149,1.545,1.583,0.639,-0.677,0.015,-0.001,1.583,4.231,4.139,0,5.781,6.702,3.084,1.682,-0.071,1.438,0,0,0,OFFBOARD
5,OUTBOUND,0.51,0.037,0.146,1.535,1.583,0.639,-0.677,0.037,-0.004,1.583,3.604,3.54,0,6.992,5.272,2.742,2.106,-0.13,1.441,0,0,0,OFFBOARD
6,OUTBOUND,0.61,0.079,0.142,1.526,1.583,0.639,-0.677,0.079,-0.008,1.583,3.165,3.092,0,10.0,4.395,2.487,2.525,-0.158,1.445,0,0,0,OFFBOARD
7,OUTBOUND,0.71,0.145,0.134,1.517,1.583,0.639,-0.677,0.145,-0.016,1.583,2.954,2.872,0,10.0,4.008,2.359,2.894,-0.148,1.444,0,0,0,OFFBOARD
8,OUTBOUND,0.81,0.24,0.121,1.508,1.583,0.639,-0.677,0.24,-0.028,1.583,2.94,2.849,0,10.0,3.995,2.35,3.241,-0.111,1.438,0,0,0,OFFBOARD
9,OUTBOUND,0.91,0.361,0.104,1.5,1.583,0.639,-0.677,0.361,-0.045,1.583,3.104,3.007,0,10.0,4.319,2.446,3.573,-0.057,1.431,0,0,0,OFFBOARD
10,OUTBOUND,1.01,0.507,0.083,1.492,1.583,0.639,-0.677,0.507,-0.067,1.583,3.442,3.35,0,10.0,5.013,2.638,3.892,0.006,1.422,0,0,0,OFFBOARD
11,OUTBOUND,1.11,0.671,0.059,1.485,1.583,0.639,-0.677,0.671,-0.091,1.583,3.951,3.895,0,6.35,6.152,2.906,4.186,0.07,1.414,0,0,0,OFFBOARD
12,OUTBOUND,1.22,0.845,0.033,1.478,1.583,0.639,-0.677,0.845,-0.117,1.583,4.563,4.066,0,5.276,6.58,3.213,4.525,0.108,1.415,0,0,0,OFFBOARD
13,OUTBOUND,1.32,1.025,0.009,1.471,1.583,0.639,-0.677,1.025,-0.141,1.583,5.115,3.921,0,4.981,10.0,3.496,4.903,0.117,1.425,0,0,0,OFFBOARD
14,OUTBOUND,1.42,1.207,-0.011,1.464,1.583,0.639,-0.677,1.207,-0.161,1.583,5.491,3.784,0,4.851,10.0,3.687,5.306,0.105,1.439,0,0,0,OFFBOARD
15,OUTBOUND,1.52,1.39,-0.026,1.459,1.583,0.639,-0.677,1.39,-0.176,1.583,5.611,4.046,0,4.688,10.0,3.752,5.726,0.071,1.457,0,0,0,OFFBOARD
16,OUTBOUND,1.62,1.574,-0.034,1.455,1.583,0.639,-0.677,1.574,-0.184,1.583,5.525,4.082,0,4.502,10.0,3.712,6.156,0.025,1.478,0,0,0,OFFBOARD
17,OUTBOUND,1.72,1.757,-0.036,1.452,1.583,0.639,-0.677,1.757,-0.186,1.583,5.348,4.093,0,4.937,10.0,3.618,6.592,-0.031,1.499,0,0,0,OFFBOARD
18,OUTBOUND,1.82,1.942,-0.032,1.451,1.583,0.639,-0.677,1.942,-0.182,1.583,5.183,4.115,0,5.113,10.0,3.521,7.034,-0.096,1.523,0,0,0,OFFBOARD
19,OUTBOUND,1.93,2.129,-0.025,1.452,1.583,0.639,-0.677,2.129,-0.175,1.583,5.094,3.931,0,5.066,10.0,3.455,7.478,-0.164,1.547,0,0,0,OFFBOARD
20,OUTBOUND,2.03,2.316,-0.018,1.455,1.583,0.639,-0.677,2.316,-0.168,1.583,5.057,3.935,0,4.954,10.0,3.434,7.924,-0.231,1.571,0,0,0,OFFBOARD
21,OUTBOUND,2.13,2.511,-0.011,1.461,1.583,0.639,-0.677,2.511,-0.161,1.583,5.054,4.217,0,4.774,10.0,3.456,8.372,-0.304,1.595,0,0,0,OFFBOARD
22,OUTBOUND,2.23,2.708,-0.009,1.468,1.583,0.639,-0.677,2.708,-0.159,1.583,5.128,4.227,0,4.601,10.0,3.515,8.82,-0.38,1.618,0,0,0,OFFBOARD
23,OUTBOUND,2.33,2.904,-0.012,1.477,1.583,0.639,-0.677,2.904,-0.162,1.583,5.258,4.199,0,4.497,10.0,3.598,9.269,-0.459,1.64,0,0,0,OFFBOARD
