step,phase,t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,fwd_progress_m,lat_offset_m,speed_ms,front_d_m,min_depth_m,prox_alarm,depth_top,depth_mid,depth_bot,tgt_x,tgt_y,tgt_z,collision,near_miss,armed,mode
0,OUTBOUND,0.0,-0.0,-0.25,1.576,-47.567,-1.518,-0.372,-0.0,-0.0,47.567,6.023,3.51,0,4.559,10.0,3.988,0.225,-0.234,1.489,0,0,0,OFFBOARD
1,OUTBOUND,0.1,0.0,-0.25,1.569,-47.567,-1.518,-0.372,-0.0,-0.0,47.567,5.995,3.508,0,4.605,10.0,3.946,0.411,-0.234,1.474,0,0,0,OFFBOARD
2,OUTBOUND,0.2,0.001,-0.25,1.562,-47.567,-1.518,-0.372,0.001,-0.0,47.567,5.727,3.495,0,4.733,10.0,3.808,0.575,-0.245,1.458,0,0,0,OFFBOARD
3,OUTBOUND,0.3,0.004,-0.25,1.554,-47.567,-1.518,-0.372,0.004,0.0,47.567,5.252,3.536,0,4.69,10.0,3.588,0.726,-0.269,1.443,0,0,0,OFFBOARD
4,OUTBOUND,0.41,0.012,-0.25,1.545,-47.567,-1.518,-0.372,0.012,0.0,47.567,4.75,3.662,0,5.521,10.0,3.341,0.906,-0.304,1.428,0,0,0,OFFBOARD
5,OUTBOUND,0.51,0.029,-0.249,1.535,-47.567,-1.518,-0.372,0.029,0.001,47.567,4.321,4.05,0,5.774,6.938,3.116,1.135,-0.357,1.419,0,0,0,OFFBOARD
6,OUTBOUND,0.61,0.056,-0.249,1.526,-47.567,-1.518,-0.372,0.056,0.001,47.567,3.891,3.866,0,6.745,5.908,2.889,1.318,-0.418,1.414,0,0,0,OFFBOARD
7,OUTBOUND,0.71,0.1,-0.249,1.515,-47.567,-1.518,-0.372,0.099,0.001,47.567,3.671,3.626,0,6.816,5.44,2.766,1.473,-0.482,1.416,0,0,0,OFFBOARD
8,OUTBOUND,0.81,0.159,-0.251,1.505,-47.567,-1.518,-0.372,0.159,-0.001,47.567,3.54,3.467,0,10.0,5.188,2.693,1.604,-0.545,1.423,0,0,0,OFFBOARD
9,OUTBOUND,0.92,0.238,-0.256,1.495,-47.567,-1.518,-0.372,0.238,-0.006,47.567,3.503,3.402,0,10.0,5.147,2.675,1.826,-0.607,1.433,0,0,0,OFFBOARD
10,OUTBOUND,1.02,0.334,-0.264,1.486,-47.567,-1.518,-0.372,0.334,-0.014,47.567,3.546,3.414,0,6.783,5.277,2.701,2.108,-0.667,1.446,0,0,0,OFFBOARD
11,OUTBOUND,1.12,0.446,-0.277,1.478,-47.567,-1.518,-0.372,0.446,-0.027,47.567,3.635,3.473,0,6.541,5.512,2.753,2.325,-0.725,1.462,0,0,0,OFFBOARD
12,OUTBOUND,1.22,0.575,-0.296,1.472,-47.567,-1.518,-0.372,0.575,-0.046,47.567,3.752,3.564,0,6.407,5.814,2.819,2.503,-0.784,1.479,0,0,0,OFFBOARD
13,OUTBOUND,1.32,0.719,-0.32,1.468,-47.567,-1.518,-0.372,0.719,-0.07,47.567,3.913,3.703,0,6.248,6.23,2.907,2.649,-0.844,1.497,0,0,0,OFFBOARD
14,OUTBOUND,1.42,0.872,-0.351,1.465,-47.567,-1.518,-0.372,0.872,-0.101,47.567,4.115,3.811,0,5.998,6.58,3.013,2.772,-0.906,1.514,0,0,0,OFFBOARD
