step,phase,t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,fwd_progress_m,lat_offset_m,speed_ms,front_d_m,min_depth_m,prox_alarm,depth_top,depth_mid,depth_bot,tgt_x,tgt_y,tgt_z,collision,near_miss,armed,mode
0,OUTBOUND,0.0,-0.0,0.3,1.576,1.664,-0.247,-0.767,-0.0,0.0,1.664,6.0,3.511,0,4.549,10.0,3.987,0.225,0.283,1.489,0,0,0,OFFBOARD
1,OUTBOUND,0.1,-0.0,0.3,1.569,1.664,-0.247,-0.767,-0.0,0.0,1.664,5.973,3.507,0,4.603,10.0,3.938,0.376,0.247,1.484,0,0,0,OFFBOARD
2,OUTBOUND,0.2,0.001,0.3,1.562,1.664,-0.247,-0.767,0.001,-0.0,1.664,5.699,3.493,0,4.73,10.0,3.797,0.479,0.197,1.485,0,0,0,OFFBOARD
3,OUTBOUND,0.3,0.004,0.3,1.554,1.664,-0.247,-0.767,0.004,-0.0,1.664,5.257,3.476,0,4.69,10.0,3.596,0.579,0.135,1.49,0,0,0,OFFBOARD
4,OUTBOUND,0.41,0.011,0.299,1.547,1.664,-0.247,-0.767,0.011,-0.001,1.664,4.829,3.556,0,5.39,10.0,3.39,0.679,0.069,1.498,0,0,0,OFFBOARD
5,OUTBOUND,0.51,0.026,0.296,1.54,1.664,-0.247,-0.767,0.026,-0.004,1.664,4.49,3.649,0,5.796,10.0,3.222,0.779,0.003,1.508,0,0,0,OFFBOARD
6,OUTBOUND,0.61,0.051,0.291,1.535,1.664,-0.247,-0.767,0.051,-0.009,1.664,4.261,3.988,0,5.756,6.87,3.109,0.879,-0.057,1.52,0,0,0,OFFBOARD
7,OUTBOUND,0.71,0.086,0.283,1.53,1.664,-0.247,-0.767,0.086,-0.017,1.664,4.143,3.98,0,5.759,6.615,3.051,0.979,-0.116,1.533,0,0,0,OFFBOARD
8,OUTBOUND,0.81,0.133,0.27,1.526,1.664,-0.247,-0.767,0.133,-0.029,1.664,4.125,3.931,0,5.779,6.605,3.046,1.079,-0.173,1.547,0,0,0,OFFBOARD
9,OUTBOUND,0.91,0.192,0.252,1.524,1.664,-0.247,-0.767,0.192,-0.048,1.664,4.187,3.964,0,5.68,6.792,3.083,1.179,-0.233,1.562,0,0,0,OFFBOARD
10,OUTBOUND,1.01,0.262,0.228,1.524,1.664,-0.247,-0.767,0.262,-0.072,1.664,4.312,4.055,0,5.59,10.0,3.151,1.279,-0.295,1.577,0,0,0,OFFBOARD
11,OUTBOUND,1.12,0.34,0.198,1.524,1.664,-0.247,-0.767,0.34,-0.102,1.664,4.483,4.09,0,5.535,10.0,3.24,1.379,-0.36,1.593,0,0,0,OFFBOARD
12,OUTBOUND,1.22,0.426,0.162,1.527,1.664,-0.247,-0.767,0.426,-0.138,1.664,4.672,4.096,0,5.48,6.981,3.336,1.479,-0.428,1.608,0,0,0,OFFBOARD
13,OUTBOUND,1.32,0.519,0.121,1.531,1.664,-0.247,-0.767,0.519,-0.179,1.664,4.866,4.123,0,5.4,10.0,3.43,1.579,-0.495,1.622,0,0,0,OFFBOARD
14,OUTBOUND,1.42,0.614,0.076,1.536,1.664,-0.247,-0.767,0.614,-0.224,1.664,5.098,4.099,0,5.205,10.0,3.542,1.679,-0.564,1.636,0,0,0,OFFBOARD
15,OUTBOUND,1.52,0.719,0.023,1.542,1.664,-0.247,-0.767,0.719,-0.277,1.664,5.246,4.011,0,5.093,10.0,3.613,1.779,-0.633,1.649,0,0,0,OFFBOARD
16,OUTBOUND,1.63,0.825,-0.032,1.55,1.664,-0.247,-0.767,0.825,-0.332,1.664,5.376,3.918,0,4.992,10.0,3.676,1.879,-0.702,1.66,0,0,0,OFFBOARD
17,OUTBOUND,1.73,0.933,-0.09,1.558,1.664,-0.247,-0.767,0.933,-0.39,1.664,5.495,3.831,0,4.9,10.0,3.733,1.98,-0.77,1.671,0,0,0,OFFBOARD
18,OUTBOUND,1.83,1.043,-0.151,1.567,1.664,-0.247,-0.767,1.043,-0.451,1.664,5.61,3.725,0,4.818,10.0,3.79,2.097,-0.831,1.68,0,0,0,OFFBOARD
