step,phase,t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,fwd_progress_m,lat_offset_m,speed_ms,front_d_m,min_depth_m,prox_alarm,depth_top,depth_mid,depth_bot,tgt_x,tgt_y,tgt_z,collision,near_miss,armed,mode
0,OUTBOUND,0.0,0.0,0.05,1.576,1.573,0.34,-0.769,0.0,-0.0,1.573,6.023,3.623,0,4.599,10.0,3.987,0.225,0.045,1.489,0,0,0,OFFBOARD
1,OUTBOUND,0.1,0.0,0.05,1.569,1.573,0.34,-0.769,0.0,-0.0,1.573,6.007,3.647,0,4.663,10.0,3.934,0.471,0.032,1.482,0,0,0,OFFBOARD
2,OUTBOUND,0.2,0.001,0.05,1.562,1.573,0.34,-0.769,0.001,-0.0,1.573,5.655,3.722,0,4.726,10.0,3.775,0.696,0.01,1.48,0,0,0,OFFBOARD
3,OUTBOUND,0.3,0.004,0.05,1.554,1.573,0.34,-0.769,0.004,-0.0,1.573,5.102,4.221,0,4.811,10.0,3.517,0.945,-0.013,1.483,0,0,0,OFFBOARD
4,OUTBOUND,0.41,0.014,0.049,1.547,1.573,0.34,-0.769,0.014,-0.001,1.573,4.519,4.294,0,5.807,10.0,3.23,1.14,-0.03,1.49,0,0,0,OFFBOARD
5,OUTBOUND,0.51,0.033,0.048,1.539,1.573,0.34,-0.769,0.033,-0.001,1.573,4.025,3.995,0,6.639,6.195,2.969,1.268,-0.028,1.499,0,0,0,OFFBOARD
6,OUTBOUND,0.61,0.067,0.047,1.533,1.573,0.34,-0.769,0.067,-0.003,1.573,3.672,3.637,0,6.854,5.404,2.773,1.38,-0.048,1.511,0,0,0,OFFBOARD
7,OUTBOUND,0.71,0.119,0.044,1.528,1.573,0.34,-0.769,0.119,-0.006,1.573,3.488,3.45,0,10.0,5.02,2.668,1.48,-0.084,1.525,0,0,0,OFFBOARD
8,OUTBOUND,0.81,0.191,0.039,1.524,1.573,0.34,-0.769,0.19,-0.01,1.573,3.455,3.414,0,10.0,4.958,2.647,1.591,-0.13,1.54,0,0,0,OFFBOARD
9,OUTBOUND,0.91,0.282,0.034,1.521,1.573,0.34,-0.769,0.282,-0.016,1.573,3.562,3.514,0,10.0,5.194,2.708,1.748,-0.183,1.555,0,0,0,OFFBOARD
10,OUTBOUND,1.02,0.392,0.026,1.52,1.573,0.34,-0.769,0.392,-0.024,1.573,3.785,3.722,0,6.583,5.699,2.834,1.945,-0.242,1.572,0,0,0,OFFBOARD
11,OUTBOUND,1.12,0.516,0.016,1.52,1.573,0.34,-0.769,0.516,-0.034,1.573,3.88,3.809,0,6.553,5.923,2.887,2.078,-0.305,1.588,0,0,0,OFFBOARD
12,OUTBOUND,1.22,0.652,0.004,1.522,1.573,0.34,-0.769,0.652,-0.046,1.573,4.406,4.074,0,5.451,6.797,3.174,2.178,-0.373,1.604,0,0,0,OFFBOARD
13,OUTBOUND,1.32,0.795,-0.012,1.526,1.573,0.34,-0.769,0.795,-0.062,1.573,4.708,3.966,0,5.152,10.0,3.335,2.358,-0.394,1.62,0,0,0,OFFBOARD
14,OUTBOUND,1.42,0.942,-0.031,1.531,1.573,0.34,-0.769,0.942,-0.081,1.573,4.98,3.843,0,5.036,10.0,3.478,2.529,-0.395,1.635,0,0,0,OFFBOARD
