step,phase,t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,fwd_progress_m,lat_offset_m,speed_ms,front_d_m,min_depth_m,prox_alarm,depth_top,depth_mid,depth_bot,tgt_x,tgt_y,tgt_z,collision,near_miss,armed,mode
0,OUTBOUND,0.0,-0.0,0.2,1.576,-36.285,-1.173,-0.853,-0.0,-0.0,36.285,0.418,0.416,1,10.0,0.869,0.273,0.225,0.199,1.489,0,1,0,OFFBOARD
1,OUTBOUND,0.1,-0.0,0.2,1.569,-36.285,-1.173,-0.853,-0.0,-0.0,36.285,0.418,0.416,1,10.0,0.869,0.273,0.377,0.175,1.484,0,1,0,OFFBOARD
2,OUTBOUND,0.2,0.001,0.2,1.562,-36.285,-1.173,-0.853,0.001,-0.0,36.285,0.418,0.416,1,10.0,0.869,0.273,0.482,0.133,1.485,0,1,0,OFFBOARD
3,OUTBOUND,0.31,0.004,0.2,1.554,-36.285,-1.173,-0.853,0.004,-0.0,36.285,0.418,0.416,1,10.0,0.869,0.273,0.582,0.08,1.49,0,1,0,OFFBOARD
4,OUTBOUND,0.41,0.011,0.199,1.547,-36.285,-1.173,-0.853,0.011,-0.001,36.285,0.418,0.416,1,10.0,0.869,0.273,0.682,0.019,1.498,0,1,0,OFFBOARD
5,OUTBOUND,0.51,0.026,0.198,1.54,-36.285,-1.173,-0.853,0.026,-0.002,36.285,0.418,0.416,1,10.0,0.869,0.273,0.782,-0.048,1.509,0,1,0,OFFBOARD
6,OUTBOUND,0.61,0.051,0.195,1.535,-36.285,-1.173,-0.853,0.051,-0.005,36.285,0.418,0.416,1,10.0,0.869,0.273,0.882,-0.119,1.521,0,1,0,OFFBOARD
7,OUTBOUND,0.71,0.086,0.19,1.53,-36.285,-1.173,-0.853,0.086,-0.01,36.285,0.418,0.416,1,10.0,0.869,0.273,0.982,-0.193,1.535,0,1,0,OFFBOARD
8,OUTBOUND,0.81,0.133,0.18,1.526,-36.285,-1.173,-0.853,0.133,-0.02,36.285,0.418,0.416,1,10.0,0.869,0.273,1.082,-0.269,1.549,0,1,0,OFFBOARD
9,OUTBOUND,0.91,0.192,0.166,1.524,-36.285,-1.173,-0.853,0.192,-0.034,36.285,0.418,0.416,1,10.0,0.869,0.273,1.182,-0.347,1.565,0,1,0,OFFBOARD
10,OUTBOUND,1.01,0.261,0.146,1.524,-36.285,-1.173,-0.853,0.261,-0.054,36.285,0.418,0.416,1,10.0,0.869,0.273,1.282,-0.425,1.58,0,1,0,OFFBOARD
11,OUTBOUND,1.12,0.34,0.12,1.525,-36.285,-1.173,-0.853,0.34,-0.08,36.285,0.418,0.416,1,10.0,0.869,0.273,1.382,-0.504,1.596,0,1,0,OFFBOARD
12,OUTBOUND,1.22,0.427,0.086,1.528,-36.285,-1.173,-0.853,0.427,-0.114,36.285,0.418,0.416,1,10.0,0.869,0.273,1.482,-0.583,1.611,0,1,0,OFFBOARD
