step,phase,t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,fwd_progress_m,lat_offset_m,speed_ms,front_d_m,min_depth_m,prox_alarm,depth_top,depth_mid,depth_bot,tgt_x,tgt_y,tgt_z,collision,near_miss,armed,mode
0,OUTBOUND,0.0,-0.0,-0.35,1.576,-40.363,0.34,-0.702,-0.0,-0.0,40.363,5.959,3.51,0,4.528,10.0,3.985,0.225,-0.331,1.489,0,0,0,OFFBOARD
1,OUTBOUND,0.1,-0.0,-0.35,1.569,-40.363,0.34,-0.702,-0.0,-0.0,40.363,5.917,3.506,0,4.59,10.0,3.928,0.523,-0.288,1.484,0,0,0,OFFBOARD
2,OUTBOUND,0.2,0.001,-0.35,1.562,-40.363,0.34,-0.702,0.001,-0.0,40.363,5.605,3.488,0,4.721,10.0,3.756,0.868,-0.228,1.485,0,0,0,OFFBOARD
3,OUTBOUND,0.3,0.004,-0.35,1.554,-40.363,0.34,-0.702,0.004,0.0,40.363,4.969,3.464,0,4.815,10.0,3.459,1.235,-0.157,1.49,0,0,0,OFFBOARD
4,OUTBOUND,0.41,0.014,-0.349,1.547,-40.363,0.34,-0.702,0.014,0.001,40.363,4.278,3.632,0,5.777,6.823,3.111,1.598,-0.087,1.498,0,0,0,OFFBOARD
5,OUTBOUND,0.51,0.037,-0.346,1.54,-40.363,0.34,-0.702,0.036,0.004,40.363,3.667,3.59,0,6.867,5.413,2.782,1.847,-0.028,1.509,0,0,0,OFFBOARD
6,OUTBOUND,0.61,0.078,-0.34,1.535,-40.363,0.34,-0.702,0.078,0.01,40.363,3.236,3.148,0,10.0,4.536,2.536,2.012,0.029,1.521,0,0,0,OFFBOARD
7,OUTBOUND,0.71,0.143,-0.33,1.53,-40.363,0.34,-0.702,0.143,0.02,40.363,3.018,2.919,0,10.0,4.125,2.406,2.119,0.081,1.535,0,0,0,OFFBOARD
8,OUTBOUND,0.81,0.237,-0.316,1.526,-40.363,0.34,-0.702,0.237,0.035,40.363,2.992,2.881,0,10.0,4.09,2.392,2.219,0.126,1.55,0,0,0,OFFBOARD
9,OUTBOUND,0.91,0.356,-0.295,1.524,-40.363,0.34,-0.702,0.356,0.055,40.363,3.143,3.015,0,10.0,4.394,2.486,2.319,0.169,1.566,0,0,0,OFFBOARD
10,OUTBOUND,1.01,0.5,-0.268,1.524,-40.363,0.34,-0.702,0.5,0.082,40.363,3.467,3.315,0,10.0,5.068,2.678,2.419,0.212,1.581,0,0,0,OFFBOARD
11,OUTBOUND,1.12,0.662,-0.236,1.525,-40.363,0.34,-0.702,0.662,0.114,40.363,3.958,3.779,0,6.351,6.191,2.954,2.519,0.267,1.597,0,0,0,OFFBOARD
12,OUTBOUND,1.22,0.835,-0.199,1.528,-40.363,0.34,-0.702,0.835,0.152,40.363,4.584,3.888,0,5.213,10.0,3.282,2.619,0.341,1.613,0,0,0,OFFBOARD
13,OUTBOUND,1.32,1.014,-0.157,1.532,-40.363,0.34,-0.702,1.014,0.193,40.363,5.225,3.75,0,4.985,10.0,3.593,2.719,0.425,1.628,0,0,0,OFFBOARD
14,OUTBOUND,1.42,1.198,-0.111,1.537,-40.363,0.34,-0.702,1.198,0.239,40.363,5.738,3.626,0,4.791,10.0,3.827,2.911,0.51,1.642,0,0,0,OFFBOARD
15,OUTBOUND,1.52,1.38,-0.063,1.544,-40.363,0.34,-0.702,1.38,0.287,40.363,5.828,3.626,0,4.648,10.0,3.962,3.186,0.596,1.656,0,0,0,OFFBOARD
16,OUTBOUND,1.62,1.563,-0.012,1.552,-40.363,0.34,-0.702,1.563,0.338,40.363,5.795,3.986,0,4.587,10.0,3.993,3.516,0.675,1.668,0,0,0,OFFBOARD
17,OUTBOUND,1.72,1.744,0.042,1.561,-40.363,0.34,-0.702,1.744,0.392,40.363,5.636,4.017,0,4.34,10.0,3.928,3.874,0.752,1.679,0,0,0,OFFBOARD
18,OUTBOUND,1.83,1.926,0.1,1.57,-40.363,0.34,-0.702,1.926,0.45,40.363,5.47,4.011,0,4.424,10.0,3.836,4.261,0.828,1.688,0,0,0,OFFBOARD
19,OUTBOUND,1.93,2.112,0.161,1.58,-40.363,0.34,-0.702,2.112,0.511,40.363,5.299,3.957,0,4.843,10.0,3.758,4.663,0.907,1.696,0,0,0,OFFBOARD
20,OUTBOUND,2.03,2.294,0.225,1.591,-40.363,0.34,-0.702,2.294,0.575,40.363,5.065,3.706,0,4.769,10.0,3.717,5.07,0.975,1.702,0,0,0,OFFBOARD
21,OUTBOUND,2.13,2.49,0.296,1.601,-40.363,0.34,-0.702,2.49,0.646,40.363,4.879,3.518,0,4.638,10.0,3.74,5.472,1.038,1.707,0,0,0,OFFBOARD
22,OUTBOUND,2.23,2.685,0.369,1.612,-40.363,0.34,-0.702,2.685,0.719,40.363,4.677,3.33,0,4.479,10.0,3.803,5.867,1.095,1.71,0,0,0,OFFBOARD
23,OUTBOUND,2.33,2.881,0.445,1.622,-40.363,0.34,-0.702,2.881,0.795,40.363,4.475,3.159,0,4.316,10.0,3.89,6.262,1.145,1.712,0,0,0,OFFBOARD
24,OUTBOUND,2.44,3.082,0.523,1.632,-40.363,0.34,-0.702,3.082,0.874,40.363,4.268,3.01,0,4.16,10.0,3.988,6.671,1.189,1.711,0,0,0,OFFBOARD
25,OUTBOUND,2.54,3.281,0.603,1.642,-40.363,0.34,-0.702,3.281,0.953,40.363,4.062,2.864,0,4.012,10.0,4.061,7.093,1.22,1.71,0,0,0,OFFBOARD
26,OUTBOUND,2.64,3.482,0.683,1.65,-40.363,0.34,-0.702,3.482,1.033,40.363,3.907,2.725,0,3.821,10.0,3.856,7.522,1.241,1.706,0,0,0,OFFBOARD
27,OUTBOUND,2.74,3.682,0.763,1.658,-40.363,0.34,-0.702,3.682,1.113,40.363,3.899,2.598,0,3.63,10.0,3.656,7.956,1.254,1.702,0,0,0,OFFBOARD
28,OUTBOUND,2.84,3.884,0.842,1.665,-40.363,0.34,-0.702,3.884,1.192,40.363,3.956,2.784,0,3.474,10.0,3.457,8.392,1.272,1.696,0,0,0,OFFBOARD
29,OUTBOUND,2.94,4.084,0.918,1.671,-40.363,0.34,-0.702,4.084,1.268,40.363,3.983,2.68,0,3.404,10.0,3.261,8.83,1.284,1.69,0,0,0,OFFBOARD
30,OUTBOUND,3.04,4.284,0.99,1.676,-40.363,0.34,-0.702,4.284,1.341,40.363,3.996,2.58,0,3.756,6.8,3.065,9.268,1.287,1.683,0,0,0,OFFBOARD
31,OUTBOUND,3.15,4.484,1.059,1.68,-40.363,0.34,-0.702,4.484,1.409,40.363,4.002,2.471,0,3.763,6.602,2.869,9.704,1.28,1.676,0,0,0,OFFBOARD
