step,phase,t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,fwd_progress_m,lat_offset_m,speed_ms,front_d_m,min_depth_m,prox_alarm,depth_top,depth_mid,depth_bot,tgt_x,tgt_y,tgt_z,collision,near_miss,armed,mode
0,OUTBOUND,0.0,0.0,0.1,1.576,1.581,-0.469,-0.609,0.0,-0.0,1.581,6.023,3.558,0,4.587,10.0,3.986,0.225,0.091,1.489,0,0,0,OFFBOARD
1,OUTBOUND,0.1,0.0,0.1,1.569,1.581,-0.469,-0.609,0.0,-0.0,1.581,5.991,3.583,0,4.659,10.0,3.927,0.376,0.073,1.484,0,0,0,OFFBOARD
2,OUTBOUND,0.2,0.001,0.1,1.562,1.581,-0.469,-0.609,0.001,-0.0,1.581,5.656,3.653,0,4.726,10.0,3.776,0.48,0.055,1.485,0,0,0,OFFBOARD
3,OUTBOUND,0.3,0.004,0.1,1.554,1.581,-0.469,-0.609,0.004,-0.0,1.581,5.213,4.082,0,4.722,10.0,3.572,0.58,0.041,1.49,0,0,0,OFFBOARD
4,OUTBOUND,0.41,0.012,0.099,1.547,1.581,-0.469,-0.609,0.012,-0.001,1.581,4.796,4.105,0,5.51,10.0,3.37,0.68,0.018,1.498,0,0,0,OFFBOARD
5,OUTBOUND,0.51,0.026,0.098,1.54,1.581,-0.469,-0.609,0.026,-0.002,1.581,4.476,4.082,0,5.792,10.0,3.207,0.78,-0.008,1.508,0,0,0,OFFBOARD
6,OUTBOUND,0.61,0.051,0.096,1.535,1.581,-0.469,-0.609,0.051,-0.004,1.581,4.269,4.012,0,5.754,6.823,3.098,0.885,-0.036,1.519,0,0,0,OFFBOARD
7,OUTBOUND,0.71,0.086,0.093,1.53,1.581,-0.469,-0.609,0.086,-0.007,1.581,4.171,3.951,0,5.819,6.596,3.046,0.988,-0.062,1.533,0,0,0,OFFBOARD
8,OUTBOUND,0.81,0.133,0.088,1.526,1.581,-0.469,-0.609,0.133,-0.012,1.581,4.164,3.911,0,5.82,6.597,3.042,1.104,-0.086,1.547,0,0,0,OFFBOARD
9,OUTBOUND,0.91,0.192,0.081,1.524,1.581,-0.469,-0.609,0.192,-0.019,1.581,4.229,3.88,0,5.712,6.778,3.077,1.225,-0.107,1.562,0,0,0,OFFBOARD
10,OUTBOUND,1.01,0.26,0.072,1.523,1.581,-0.469,-0.609,0.26,-0.028,1.581,4.344,3.834,0,5.583,10.0,3.138,1.345,-0.127,1.577,0,0,0,OFFBOARD
11,OUTBOUND,1.11,0.339,0.061,1.524,1.581,-0.469,-0.609,0.339,-0.039,1.581,4.483,3.773,0,5.521,10.0,3.21,1.475,-0.144,1.592,0,0,0,OFFBOARD
12,OUTBOUND,1.22,0.426,0.047,1.527,1.581,-0.469,-0.609,0.426,-0.053,1.581,4.579,3.732,0,5.479,10.0,3.259,1.609,-0.16,1.607,0,0,0,OFFBOARD
13,OUTBOUND,1.32,0.52,0.032,1.53,1.581,-0.469,-0.609,0.52,-0.068,1.581,4.748,3.644,0,5.382,6.886,3.343,1.755,-0.181,1.621,0,0,0,OFFBOARD
14,OUTBOUND,1.42,0.622,0.014,1.536,1.581,-0.469,-0.609,0.622,-0.086,1.581,4.84,3.576,0,5.296,10.0,3.389,1.885,-0.206,1.635,0,0,0,OFFBOARD
15,OUTBOUND,1.52,0.729,-0.005,1.542,1.581,-0.469,-0.609,0.729,-0.105,1.581,4.903,3.503,0,5.199,10.0,3.421,2.014,-0.233,1.648,0,0,0,OFFBOARD
16,OUTBOUND,1.62,0.843,-0.025,1.549,1.581,-0.469,-0.609,0.843,-0.125,1.581,4.953,3.431,0,5.096,10.0,3.448,2.145,-0.261,1.659,0,0,0,OFFBOARD
17,OUTBOUND,1.72,0.962,-0.047,1.558,1.581,-0.469,-0.609,0.962,-0.147,1.581,5.01,3.355,0,4.988,10.0,3.48,2.281,-0.289,1.669,0,0,0,OFFBOARD
18,OUTBOUND,1.82,1.087,-0.069,1.567,1.581,-0.469,-0.609,1.087,-0.169,1.581,5.088,3.277,0,4.876,10.0,3.522,2.406,-0.311,1.678,0,0,0,OFFBOARD
19,OUTBOUND,1.93,1.216,-0.091,1.576,1.581,-0.469,-0.609,1.216,-0.191,1.581,5.192,3.198,0,4.762,10.0,3.578,2.555,-0.334,1.686,0,0,0,OFFBOARD
20,OUTBOUND,2.03,1.35,-0.115,1.586,1.581,-0.469,-0.609,1.35,-0.215,1.581,5.233,3.173,0,4.724,10.0,3.6,2.714,-0.358,1.692,0,0,0,OFFBOARD
21,OUTBOUND,2.13,1.487,-0.139,1.596,1.581,-0.469,-0.609,1.487,-0.239,1.581,5.466,3.041,0,4.53,10.0,3.72,2.878,-0.379,1.697,0,0,0,OFFBOARD
22,OUTBOUND,2.23,1.627,-0.164,1.606,1.581,-0.469,-0.609,1.627,-0.263,1.581,5.594,2.962,0,4.445,10.0,3.786,3.026,-0.397,1.701,0,0,0,OFFBOARD
23,OUTBOUND,2.33,1.772,-0.189,1.616,1.581,-0.469,-0.609,1.772,-0.289,1.581,5.639,2.883,0,4.381,10.0,3.837,3.168,-0.412,1.703,0,0,0,OFFBOARD
24,OUTBOUND,2.43,1.915,-0.215,1.625,1.581,-0.469,-0.609,1.915,-0.315,1.581,5.698,2.782,0,4.374,10.0,3.89,3.314,-0.417,1.704,0,0,0,OFFBOARD
