step,phase,t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,fwd_progress_m,lat_offset_m,speed_ms,front_d_m,min_depth_m,prox_alarm,depth_top,depth_mid,depth_bot,tgt_x,tgt_y,tgt_z,collision,near_miss,armed,mode
0,OUTBOUND,0.0,-0.0,-0.15,1.576,-2.909,1.238,-0.88,-0.0,-0.0,2.909,6.023,3.511,0,4.6,10.0,3.988,0.225,-0.136,1.489,0,0,0,OFFBOARD
1,OUTBOUND,0.11,-0.0,-0.15,1.569,-2.909,1.238,-0.88,-0.0,-0.0,2.909,6.018,3.512,0,4.65,10.0,3.944,0.529,-0.146,1.484,0,0,0,OFFBOARD
2,OUTBOUND,0.21,0.001,-0.15,1.561,-2.909,1.238,-0.88,0.001,0.0,2.909,5.71,3.576,0,4.732,10.0,3.8,0.884,-0.174,1.485,0,0,0,OFFBOARD
3,OUTBOUND,0.31,0.004,-0.15,1.554,-2.909,1.238,-0.88,0.004,0.0,2.909,4.906,4.106,0,5.353,10.0,3.419,1.272,-0.221,1.49,0,0,0,OFFBOARD
4,OUTBOUND,0.41,0.015,-0.15,1.547,-2.909,1.238,-0.88,0.015,0.0,2.909,4.213,4.123,0,5.786,6.638,3.068,1.682,-0.28,1.498,0,0,0,OFFBOARD
5,OUTBOUND,0.52,0.037,-0.15,1.54,-2.909,1.238,-0.88,0.037,0.0,2.909,3.601,3.578,0,10.0,5.235,2.735,2.102,-0.339,1.509,0,0,0,OFFBOARD
6,OUTBOUND,0.62,0.081,-0.151,1.534,-2.909,1.238,-0.88,0.081,-0.001,2.909,3.189,3.151,0,10.0,4.408,2.496,2.524,-0.385,1.51,0,0,0,OFFBOARD
7,OUTBOUND,0.72,0.149,-0.154,1.529,-2.909,1.238,-0.88,0.148,-0.004,2.909,2.993,2.939,0,10.0,4.051,2.381,2.934,-0.412,1.505,0,0,0,OFFBOARD
8,OUTBOUND,0.82,0.245,-0.159,1.525,-2.909,1.238,-0.88,0.245,-0.009,2.909,2.993,2.92,0,10.0,4.068,2.383,3.332,-0.42,1.496,0,0,0,OFFBOARD
9,OUTBOUND,0.92,0.366,-0.169,1.521,-2.909,1.238,-0.88,0.366,-0.019,2.909,3.17,3.076,0,10.0,4.423,2.492,3.725,-0.412,1.485,0,0,0,OFFBOARD
10,OUTBOUND,1.02,0.513,-0.183,1.518,-2.909,1.238,-0.88,0.513,-0.033,2.909,3.521,3.406,0,10.0,5.163,2.698,4.123,-0.397,1.471,0,0,0,OFFBOARD
11,OUTBOUND,1.12,0.675,-0.2,1.514,-2.909,1.238,-0.88,0.675,-0.05,2.909,4.031,3.647,0,6.321,6.347,2.977,4.532,-0.385,1.456,0,0,0,OFFBOARD
