step,phase,t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,fwd_progress_m,lat_offset_m,speed_ms,front_d_m,min_depth_m,prox_alarm,depth_top,depth_mid,depth_bot,tgt_x,tgt_y,tgt_z,collision,near_miss,armed,mode
0,OUTBOUND,0.0,0.0,-0.15,1.576,-0.119,-0.126,-0.626,0.0,-0.0,0.119,6.023,3.51,0,4.598,10.0,3.99,0.225,-0.136,1.489,0,0,0,OFFBOARD
1,OUTBOUND,0.1,0.0,-0.15,1.569,-0.119,-0.126,-0.626,0.0,-0.0,0.119,6.023,3.51,0,4.603,10.0,3.985,0.509,-0.142,1.484,0,0,0,OFFBOARD
2,OUTBOUND,0.2,0.001,-0.15,1.562,-0.119,-0.126,-0.626,0.001,-0.0,0.119,6.023,3.51,0,4.603,10.0,3.985,0.823,-0.162,1.485,0,0,0,OFFBOARD
3,OUTBOUND,0.31,0.004,-0.15,1.554,-0.119,-0.126,-0.626,0.004,-0.0,0.119,4.971,4.077,0,5.048,10.0,3.452,1.149,-0.202,1.49,0,0,0,OFFBOARD
4,OUTBOUND,0.41,0.014,-0.15,1.547,-0.119,-0.126,-0.626,0.014,0.0,0.119,4.314,4.157,0,5.78,6.895,3.118,1.434,-0.254,1.498,0,0,0,OFFBOARD
5,OUTBOUND,0.51,0.036,-0.15,1.54,-0.119,-0.126,-0.626,0.036,0.0,0.119,3.922,3.91,0,6.777,5.942,2.912,1.666,-0.309,1.509,0,0,0,OFFBOARD
6,OUTBOUND,0.61,0.074,-0.15,1.535,-0.119,-0.126,-0.626,0.074,-0.0,0.119,3.35,3.318,0,10.0,4.724,2.59,1.84,-0.367,1.521,0,0,0,OFFBOARD
7,OUTBOUND,0.71,0.136,-0.152,1.53,-0.119,-0.126,-0.626,0.136,-0.002,0.119,3.123,3.074,0,10.0,4.292,2.458,2.032,-0.427,1.535,0,0,0,OFFBOARD
8,OUTBOUND,0.81,0.223,-0.156,1.526,-0.119,-0.126,-0.626,0.223,-0.006,0.119,3.067,2.998,0,10.0,4.204,2.427,2.196,-0.487,1.549,0,0,0,OFFBOARD
9,OUTBOUND,0.91,0.337,-0.164,1.524,-0.119,-0.126,-0.626,0.337,-0.014,0.119,3.177,3.082,0,10.0,4.434,2.497,2.365,-0.547,1.565,0,0,0,OFFBOARD
10,OUTBOUND,1.02,0.474,-0.177,1.524,-0.119,-0.126,-0.626,0.473,-0.027,0.119,3.449,3.318,0,10.0,5.011,2.662,2.568,-0.606,1.581,0,0,0,OFFBOARD
11,OUTBOUND,1.12,0.629,-0.194,1.525,-0.119,-0.126,-0.626,0.629,-0.044,0.119,3.568,3.423,0,10.0,5.275,2.732,2.787,-0.666,1.597,0,0,0,OFFBOARD
12,OUTBOUND,1.22,0.797,-0.217,1.527,-0.119,-0.126,-0.626,0.797,-0.067,0.119,4.404,3.942,0,5.349,6.959,3.198,3.01,-0.731,1.612,0,0,0,OFFBOARD
13,OUTBOUND,1.32,0.973,-0.245,1.531,-0.119,-0.126,-0.626,0.973,-0.095,0.119,4.991,3.807,0,4.989,10.0,3.498,3.235,-0.791,1.627,0,0,0,OFFBOARD
14,OUTBOUND,1.42,1.153,-0.279,1.537,-0.119,-0.126,-0.626,1.153,-0.129,0.119,5.48,3.658,0,4.81,10.0,3.733,3.471,-0.849,1.641,0,0,0,OFFBOARD
15,OUTBOUND,1.52,1.337,-0.319,1.544,-0.119,-0.126,-0.626,1.337,-0.169,0.119,5.742,3.49,0,4.633,10.0,3.87,3.729,-0.901,1.655,0,0,0,OFFBOARD
16,OUTBOUND,1.62,1.519,-0.363,1.551,-0.119,-0.126,-0.626,1.519,-0.213,0.119,5.783,3.31,0,4.54,10.0,3.904,4.012,-0.943,1.667,0,0,0,OFFBOARD
17,OUTBOUND,1.72,1.703,-0.412,1.56,-0.119,-0.126,-0.626,1.703,-0.262,0.119,5.621,3.205,0,4.36,10.0,3.869,4.344,-0.977,1.678,0,0,0,OFFBOARD
18,OUTBOUND,1.83,1.887,-0.464,1.57,-0.119,-0.126,-0.626,1.887,-0.314,0.119,5.504,3.148,0,4.233,10.0,3.83,4.71,-1.002,1.687,0,0,0,OFFBOARD
19,OUTBOUND,1.93,2.072,-0.519,1.58,-0.119,-0.126,-0.626,2.072,-0.369,0.119,5.433,2.989,0,4.544,10.0,3.765,5.102,-0.992,1.695,0,0,0,OFFBOARD
20,OUTBOUND,2.03,2.262,-0.577,1.59,-0.119,-0.126,-0.626,2.262,-0.427,0.119,5.463,2.77,0,4.601,10.0,3.75,5.506,-0.97,1.702,0,0,0,OFFBOARD
21,OUTBOUND,2.13,2.454,-0.635,1.601,-0.119,-0.126,-0.626,2.454,-0.485,0.119,5.538,2.525,0,4.567,10.0,3.768,5.913,-0.935,1.707,0,0,0,OFFBOARD
22,OUTBOUND,2.23,2.65,-0.693,1.611,-0.119,-0.126,-0.626,2.649,-0.543,0.119,5.602,2.317,0,4.429,10.0,3.822,6.316,-0.906,1.71,0,0,0,OFFBOARD
23,OUTBOUND,2.33,2.846,-0.75,1.622,-0.119,-0.126,-0.626,2.846,-0.6,0.119,5.691,2.097,0,4.268,10.0,3.898,6.717,-0.866,1.712,0,0,0,OFFBOARD
24,OUTBOUND,2.44,3.044,-0.803,1.632,-0.119,-0.126,-0.626,3.044,-0.653,0.119,5.542,1.896,1,4.118,10.0,3.984,7.114,-0.818,1.712,0,0,0,OFFBOARD
25,OUTBOUND,2.54,3.248,-0.852,1.641,-0.119,-0.126,-0.626,3.248,-0.702,0.119,5.353,1.682,1,3.979,10.0,4.068,7.53,-0.774,1.699,0,0,0,OFFBOARD
26,OUTBOUND,2.64,3.45,-0.894,1.65,-0.119,-0.126,-0.626,3.45,-0.744,0.119,5.164,2.65,0,3.894,10.0,4.136,7.958,-0.78,1.676,0,0,0,OFFBOARD
27,OUTBOUND,2.74,3.648,-0.927,1.657,-0.119,-0.126,-0.626,3.648,-0.777,0.119,5.164,2.65,0,3.894,10.0,4.136,8.356,-0.79,1.658,0,0,0,OFFBOARD
28,OUTBOUND,2.84,3.852,-0.953,1.662,-0.119,-0.126,-0.626,3.852,-0.803,0.119,5.164,2.65,0,3.894,10.0,4.136,8.739,-0.803,1.644,0,0,0,OFFBOARD
